iter	Passed	Remaining
745	4452	1516
746	4458	1509
747	4465	1504
748	4470	1498
749	4475	1491
750	4480	1485
751	4485	1479
752	4492	1473
753	4497	1467
754	4502	1461
755	4507	1454
756	4512	1448
757	4517	1442
758	4522	1435
759	4527	1429
760	4533	1423
761	4539	1417
762	4544	1411
763	4549	1405
764	4555	1399
765	4560	1393
766	4565	1386
767	4570	1380
768	4575	1374
769	4580	1368
770	4585	1362
771	4593	1356
772	4598	1350
773	4603	1344
774	4608	1337
775	4613	1331
776	4618	1325
777	4624	1319
778	4631	1313
779	4636	1307
780	4643	1302
781	4648	1295
782	4654	1289
783	4659	1283
784	4664	1277
785	4671	1271
786	4676	1265
787	4681	1259
788	4687	1253
789	4692	1247
790	4698	1241
791	4703	1235
792	4707	1228
793	4712	1222
794	4720	1217
795	4724	1210
796	4730	1204
797	4735	1198
798	4739	1192
799	4744	1186
800	4750	1180
801	4756	1174
802	4761	1168
803	4766	1162
804	4771	1155
805	4777	1149
806	4782	1143
807	4787	1137
808	4793	1131
809	4798	1125
810	4803	1119
811	4809	1113
812	4814	1107
813	4819	1101
814	4825	1095
815	4830	1089
816	4835	1083
817	4841	1077
818	4848	1071
819	4854	1065
820	4860	1059
821	4865	1053
822	4870	1047
823	4876	1041
824	4881	1035
825	4887	1029
826	4892	1023
827	4898	1017
828	4903	1011
829	4909	1005
830	4914	999
831	4919	993
832	4925	987
833	4929	981
834	4935	975
835	4941	969
836	4947	963
837	4951	957
838	4957	951
839	4963	945
840	4968	939
841	4974	933
842	4979	927
843	4984	921
844	4989	915
845	4994	909
846	5000	903
847	5005	897
848	5010	891
849	5015	885
850	5020	878
851	5024	872
852	5031	867
853	5036	860
854	5041	854
855	5046	848
856	5051	842
857	5056	836
858	5062	830
859	5067	824
860	5072	818
861	5078	813
862	5083	806
863	5088	801
864	5093	795
865	5100	789
866	5105	783
867	5110	777
868	5115	771
869	5120	765
870	5125	759
871	5131	753
872	5136	747
873	5141	741
874	5146	735
875	5150	729
876	5155	723
877	5161	717
878	5167	711
879	5172	705
880	5177	699
881	5182	693
882	5187	687
883	5192	681
884	5197	675
885	5202	669
886	5207	663
887	5213	657
888	5218	651
889	5225	645
890	5230	639
891	5235	633
892	5240	627
893	5245	621
894	5250	615
895	5260	610
896	5265	604
897	5270	598
898	5275	592
899	5280	586
900	5286	580
901	5291	574
902	5296	568
903	5301	563
904	5306	557
905	5311	551
906	5317	545
907	5323	539
908	5328	533
909	5333	527
910	5338	521
911	5343	515
912	5349	509
913	5355	503
914	5360	497
915	5365	491
916	5370	486
917	5374	480
918	5380	474
919	5386	468
920	5392	462
921	5398	456
922	5403	450
923	5408	444
924	5415	439
925	5420	433
926	5425	427
927	5433	421
928	5439	415
929	5445	409
930	5451	404
931	5457	398
932	5462	392
933	5468	386
934	5473	380
935	5478	374
936	5485	368
937	5490	362
938	5495	356
939	5500	351
940	5506	345
941	5511	339
942	5516	333
943	5521	327
944	5526	321
945	5532	315
946	5537	309
947	5545	304
948	5551	298
949	5556	292
950	5561	286
951	5565	280
952	5572	274
953	5578	268
954	5583	263
955	5588	257
956	5593	251
957	5598	245
958	5603	239
959	5608	233
960	5613	227
961	5619	221
962	5624	216
963	5630	210
964	5637	204
965	5642	198
966	5647	192
967	5653	186
968	5659	181
969	5666	175
970	5672	169
971	5677	163
972	5682	157
973	5687	151
974	5692	145
975	5698	140
976	5703	134
977	5709	128
978	5714	122
979	5719	116
980	5724	110
981	5729	105
982	5735	99
983	5740	93
984	5745	87
985	5750	81
986	5756	75
987	5762	69
988	5767	64
989	5772	58
990	5777	52
991	5782	46
992	5786	40
993	5793	34
994	5798	29
995	5803	23
996	5809	17
997	5814	11
998	5819	5
999	5824	0
